2022-06-07 15:16:09 | INFO | 正在对：('css selector', 'input[placeholder="密码"]')元素进行输入操作
2022-06-07 15:16:09 | INFO | 正在对：('css selector', 'input[placeholder="密码"]')元素进行输入操作
2022-06-07 15:16:09 | INFO | 正在对：('css selector', 'input[placeholder="密码"]')元素进行输入操作
2022-06-07 15:16:09 | INFO | 正在对：('css selector', 'input[placeholder="密码"]')元素进行输入操作
2022-06-07 15:16:09 | INFO | 正在查询元素:('css selector', 'input[placeholder="密码"]')
2022-06-07 15:16:09 | INFO | 正在查询元素:('css selector', 'input[placeholder="密码"]')
2022-06-07 15:16:09 | INFO | 正在查询元素:('css selector', 'input[placeholder="密码"]')
2022-06-07 15:16:09 | INFO | 正在查询元素:('css selector', 'input[placeholder="密码"]')
2022-06-07 15:16:09 | INFO | 正在点击元素:('css selector', 'button[type="submit"]')
2022-06-07 15:16:09 | INFO | 正在点击元素:('css selector', 'button[type="submit"]')
2022-06-07 15:16:09 | INFO | 正在点击元素:('css selector', 'button[type="submit"]')
2022-06-07 15:16:09 | INFO | 正在点击元素:('css selector', 'button[type="submit"]')
2022-06-07 15:16:09 | INFO | 正在查询元素:('css selector', 'button[type="submit"]')
2022-06-07 15:16:09 | INFO | 正在查询元素:('css selector', 'button[type="submit"]')
2022-06-07 15:16:09 | INFO | 正在查询元素:('css selector', 'button[type="submit"]')
2022-06-07 15:16:09 | INFO | 正在查询元素:('css selector', 'button[type="submit"]')
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
2022-06-07 15:16:11 | INFO | 正在初始化driver:<selenium.webdriver.chrome.webdriver.WebDriver (session="d3a5d27055dcb56d7d6b58f7c8bed27b")>,欢迎使用该自动化框架
